ha_3_ (1).wav,1.0000,-2.9148,3.4189,-2.2615,0.9106,-0.1178,0.1631,-0.2380,-0.1368,0.3244,-0.2346,-0.0124,0.2241,-0.0514,-0.1317,-0.0126,0.2392,-0.1493,-0.2029,0.2751,-0.0499,-0.0639,0.0495,-0.0650,0.0883,-0.0428,-0.0512,0.0831,-0.0137,-0.0113,-0.0254,-0.0478,0.0698,0.0255,-0.0022,-0.0067,-0.0997,0.0423,0.0738,-0.0162,-0.0199,0.0273,0.0079,-0.0964,0.0501,0.0272,-0.0190,a
ha_3_ (10).wav,1.0000,-2.8066,3.6732,-3.3266,2.2894,-1.4992,1.4167,-1.4190,0.9842,-0.4762,0.2548,0.1056,-0.5199,0.5033,-0.1199,-0.3116,0.4939,-0.0534,-0.5672,0.7190,-0.5198,0.1691,0.2916,-0.6366,0.5293,-0.2030,-0.0502,0.2053,-0.0743,-0.1020,-0.0230,0.1987,-0.2660,0.1931,0.0038,-0.1599,0.2838,-0.2987,0.2160,0.0430,-0.3354,0.2752,-0.0467,-0.0949,0.0989,-0.0404,0.0101,a
ha_3_ (11).wav,1.0000,-2.9325,3.9889,-4.5360,5.2446,-5.0801,4.2404,-3.5761,2.8914,-2.4158,2.3277,-2.1203,2.0154,-2.1120,2.0077,-1.8562,1.7550,-1.4975,1.2408,-0.9810,0.6526,-0.4597,0.2730,-0.0179,-0.0967,0.2216,-0.2560,-0.0141,0.1588,-0.1444,0.2528,-0.2033,0.0280,-0.0633,-0.0105,0.1182,0.0409,-0.1415,0.1667,-0.2481,0.2585,-0.2377,0.2406,-0.1725,0.1537,-0.1510,0.0521,a
ha_3_ (12).wav,1.0000,-3.4431,5.3046,-5.2052,3.7590,-1.9851,0.8053,-0.4913,0.5878,-0.7372,0.7744,-0.4880,0.1256,-0.1349,0.3798,-0.5624,0.5766,-0.3326,-0.0099,0.1480,0.1037,-0.3620,0.2925,-0.1822,0.1016,0.0468,-0.2143,0.2471,-0.1571,0.1528,-0.1332,-0.0495,0.2526,-0.2909,0.1260,0.0521,-0.0792,0.0380,-0.0400,0.0386,0.0050,0.0229,-0.0512,-0.0225,0.1056,-0.1059,0.0376,a
ha_3_ (13).wav,1.0000,-3.0675,4.4233,-4.7457,4.5934,-4.1078,3.5778,-3.2648,3.0144,-2.5687,2.1963,-1.7352,1.3217,-1.4820,1.5657,-1.2867,1.0638,-0.7431,0.2269,0.1607,-0.3360,0.5318,-0.5367,0.4114,-0.4239,0.2793,-0.0876,0.0959,0.0044,-0.1626,0.0932,-0.0612,0.1031,0.0113,-0.0591,-0.1250,0.3255,-0.3943,0.3966,-0.3149,0.2150,-0.2353,0.2947,-0.3025,0.2816,-0.1891,0.0540,a
ha_3_ (14).wav,1.0000,-3.2007,4.5762,-4.6182,4.6623,-4.9194,4.6793,-3.9923,3.2884,-2.7133,2.3670,-1.7287,0.8383,-0.8231,1.3451,-1.1167,0.4006,-0.0489,-0.1123,0.4789,-0.6982,0.5755,-0.3212,0.1015,-0.0494,-0.0213,0.1835,-0.2420,0.2282,-0.2713,0.2540,-0.0788,0.0070,-0.1345,0.2038,-0.1894,0.1287,-0.0443,0.0241,0.1094,-0.3193,0.3485,-0.1852,0.1114,-0.1873,0.1310,-0.0214,a
ha_3_ (15).wav,1.0000,-3.0713,4.1607,-3.9903,3.6968,-3.2521,2.5414,-1.8714,1.1175,-0.6530,0.7430,-0.3847,-0.2391,0.3588,-0.2397,-0.0601,0.2686,0.0488,-0.2960,0.0418,0.0327,0.2698,-0.3091,0.0187,0.1872,-0.1028,-0.0763,0.0751,0.0370,-0.1174,-0.0249,0.2162,-0.0890,-0.1018,0.0838,-0.0541,0.0789,-0.0696,0.1588,-0.2161,0.1634,-0.2292,0.3248,-0.2945,0.2171,-0.1434,0.0497,a
ha_3_ (16).wav,1.0000,-2.8345,3.0016,-1.5555,0.4790,-0.1290,-0.0408,0.4407,-0.3740,-0.3519,0.4987,0.0442,-0.3629,0.1526,0.0957,-0.0821,0.0619,-0.0165,0.0030,0.0189,-0.0704,-0.0483,0.0258,0.0638,0.0579,-0.0552,-0.0598,0.0698,0.0181,-0.0752,-0.0350,0.0598,0.0718,-0.0683,-0.0604,0.0649,0.0237,-0.0120,-0.0295,-0.0107,0.0534,-0.0111,-0.0207,0.0138,-0.0487,0.0681,-0.0300,a
ha_3_ (17).wav,1.0000,-3.4061,5.6070,-6.7470,6.7904,-5.9464,5.1903,-5.1498,5.7162,-6.0379,5.6625,-5.0220,4.2806,-3.7646,3.7345,-3.8166,3.8891,-3.8906,3.6754,-3.2679,2.7891,-2.4516,2.2951,-2.2182,2.0456,-1.6941,1.3541,-1.1206,1.0170,-1.0901,1.1382,-1.0658,0.9832,-0.9927,1.0426,-0.9600,0.8424,-0.7087,0.5463,-0.5359,0.6568,-0.7303,0.6802,-0.5603,0.3773,-0.1530,0.0233,a
ha_3_ (18).wav,1.0000,-3.2466,5.0268,-5.6185,5.6152,-5.5273,5.3896,-5.2830,5.3119,-5.3927,5.4918,-5.4784,5.5642,-5.7743,5.6425,-5.0802,4.4532,-3.8768,3.2218,-2.5577,1.9710,-1.5750,1.5535,-1.6877,1.7341,-1.7992,1.7793,-1.5217,1.3654,-1.5422,1.6997,-1.6938,1.6381,-1.5579,1.4252,-1.2578,1.1979,-1.2479,1.1760,-0.9199,0.7180,-0.5554,0.3668,-0.2136,0.0980,-0.0265,-0.0026,a
