ha_1_ (1).wav,-10.3306,3.8244,-0.5348,0.7163,-0.2104,0.0722,-0.2085,-0.3572,-0.0408,0.1984,0.0001,-0.1015,0.0027,a
ha_1_ (10).wav,-11.3480,3.9826,-0.2554,0.3765,-0.5286,0.0850,-0.3222,-0.3134,-0.0746,0.1160,0.1480,-0.0314,0.0152,a
ha_1_ (11).wav,-9.2051,3.9522,-1.4878,0.1689,-1.0739,-0.2140,-0.1678,-0.1248,0.0757,0.5149,0.7051,-0.1972,-0.0451,a
ha_1_ (12).wav,-9.9981,4.1310,0.6532,-0.1146,0.1297,-0.0338,-0.3804,-0.7675,-0.0497,0.1914,0.3092,-0.2958,0.0671,a
ha_1_ (13).wav,-8.3707,3.4729,-0.8002,-0.3646,-1.1983,0.0595,0.2408,0.2849,-0.4754,0.1355,0.0755,-0.1352,-0.1291,a
ha_1_ (14).wav,-6.9690,3.8298,-0.8603,-0.5425,-1.4395,-0.1344,-0.0327,-0.1890,-0.3130,0.4101,0.2810,0.3281,-0.5863,a
ha_1_ (15).wav,-5.1876,2.0144,-0.5591,-0.3777,-0.4089,0.0452,-0.2964,-0.1497,-0.1554,0.3301,0.4546,-0.2546,0.0829,a
ha_1_ (16).wav,-7.6291,3.6645,-0.8117,-0.2173,-0.7771,0.0586,0.1560,-0.7266,0.5168,0.3414,0.5522,-0.0833,-0.1307,a
ha_1_ (17).wav,-8.7444,4.3121,-0.3872,-0.8691,-0.5972,0.0112,-0.4223,0.2093,-0.8303,0.6857,0.4343,0.0165,0.0476,a
ha_1_ (18).wav,-11.3864,4.2912,-0.5125,0.3398,-0.1666,-0.0350,-0.0282,0.1087,0.0213,0.2119,0.1475,0.0513,0.0102,a
ha_1_ (19).wav,-8.8780,4.1761,-1.1462,0.3528,-1.0655,1.0529,-0.0311,-0.5566,-0.4129,0.4427,0.4574,-0.6101,0.1549,a
ha_1_ (2).wav,-9.0586,4.1689,0.2866,0.0343,-0.6655,-0.4864,0.2277,-0.9338,0.0280,-0.0693,0.5107,0.1424,0.1701,a
ha_1_ (20).wav,-7.2614,4.5217,-0.2785,-0.5674,-0.7526,0.5458,0.3657,-0.3801,0.3181,0.7104,0.3940,0.0047,0.0771,a
ha_1_ (21).wav,-10.4494,3.3143,-0.1379,0.7838,-0.4990,0.1415,-0.1746,-0.0431,-0.0595,0.0231,0.1717,-0.0498,-0.1215,a
ha_1_ (22).wav,-7.7970,4.0826,-1.0610,-0.1636,-1.3637,0.3943,0.0528,-0.3031,0.0315,0.5209,0.2592,0.0022,-0.3298,a
ha_1_ (23).wav,-8.5917,3.5446,-0.5182,0.0702,-0.8859,-0.0118,-0.3913,0.0253,-0.1478,-0.2194,0.3863,0.1781,-0.0378,a
ha_1_ (24).wav,-7.7705,3.6942,-1.0314,-0.0494,-0.3549,-0.3781,-0.2571,0.7177,-0.3387,0.2666,0.1460,-0.2183,-0.1203,a
ha_1_ (25).wav,-8.5642,4.1168,0.0553,-0.7273,-0.7008,0.0838,-0.3038,-0.0705,-0.2844,-0.4167,0.7025,0.3246,-0.3263,a
ha_1_ (26).wav,-9.6028,3.1025,-1.2660,-0.7289,0.1529,1.3444,0.1435,0.6715,0.3337,0.0095,-0.4830,0.3592,0.1743,a
ha_1_ (27).wav,-7.1422,3.8657,-0.3258,-1.0406,-1.2309,0.0763,-0.1935,0.5268,-0.3955,0.1427,0.6472,0.0752,-0.2741,a
ha_1_ (28).wav,-7.3212,3.8626,-1.0379,-0.7503,-1.1876,-0.0045,0.1089,-0.1535,-0.0148,0.3827,0.7305,-0.0353,-0.1646,a
ha_1_ (29).wav,-12.9587,4.5161,-0.3116,0.4075,-0.4088,0.4029,-0.2072,0.0565,0.0633,0.2911,0.3177,0.1721,0.0955,a
ha_1_ (3).wav,-8.8456,5.0493,-0.8572,-0.2483,-1.0248,-0.1471,0.0022,-0.3377,-0.1263,0.2894,0.4881,0.1536,-0.2646,a
ha_1_ (30).wav,-9.7482,5.3100,-1.6640,0.4529,-1.1865,-0.4954,0.2541,-0.4032,-0.7589,0.4350,0.8130,0.3236,0.3818,a
ha_1_ (31).wav,-7.4828,3.6056,-1.2706,-0.7034,-0.7034,0.2376,-0.4752,0.6643,-0.5265,0.5705,0.3828,0.0007,-0.5367,a
ha_1_ (32).wav,-7.9983,4.2701,-1.0121,-0.1704,-0.4393,-0.2309,-0.7500,-0.2232,-0.5507,0.3789,0.9225,0.1777,-0.2617,a
